country,year,single_crop_downside,diversified_downside,diff_pp,direction
Fiji,2004,16.4189,5.7098,10.7091,reduced
New Caledonia,2015,13.0942,4.749,8.3452,reduced
Fiji,1998,6.4844,0.0,6.4844,reduced
Fiji,2003,6.2743,2.5122,3.7621,reduced
New Caledonia,2019,2.8814,0.0,2.8814,reduced
New Caledonia,2016,4.9321,2.2773,2.6548,reduced
New Caledonia,2018,2.5014,0.0,2.5014,reduced
Fiji,2015,0.0,0.0,0.0,equal
Fiji,2006,10.8876,11.8862,-0.9986,increased
New Caledonia,2017,2.8327,3.8422,-1.0095,increased
