country,year,cassava,taro,sp,all_below_trend,at_least_one_at_or_above
Fiji,1983,60.384418,30.448712,-26.220622,0,1
Fiji,1987,-7.077622,5.271672,187.891383,0,1
Fiji,1992,-59.547843,-67.965673,81.459724,0,1
Fiji,1995,7.622614,-3.413962,22.619196,0,1
Fiji,1998,4.878592,-19.453086,74.7064,0,1
Fiji,2003,-9.282034,-9.541101,39.521245,0,1
Fiji,2004,23.515714,-14.004017,-35.252748,0,1
Fiji,2006,-8.969793,-13.964584,-9.728697,1,0
Fiji,2014,-30.358402,-21.605948,18.918717,0,1
Fiji,2015,71.765567,68.177973,14.401943,0,1
New Caledonia,1987,45.02878,11.490617,33.3934,0,1
New Caledonia,1993,36.947871,-21.046179,37.54454,0,1
New Caledonia,1994,30.017985,-18.233485,35.789478,0,1
New Caledonia,2010,-29.058438,27.231197,-48.889993,0,1
New Caledonia,2014,-23.902152,-6.842344,-47.001451,1,0
New Caledonia,2015,-7.519386,1.658586,-31.762877,0,1
New Caledonia,2016,1.514179,-0.992372,-13.803516,0,1
New Caledonia,2017,8.905347,-8.497724,1.51627,0,1
New Caledonia,2018,15.182712,-7.504224,16.36104,0,1
New Caledonia,2019,20.734667,-8.644663,30.905922,0,1
Niue,1979,-25.205563,-50.138445,43.455375,0,1
Niue,1980,-25.288016,-53.334298,43.405626,0,1
Niue,1983,-22.556222,-31.683338,43.256482,0,1
Niue,1986,-9.947403,0.575387,43.107494,0,1
Niue,1987,-14.330168,13.062398,43.057865,0,1
Niue,1992,-1.412975,34.756534,-0.033013,0,1
Niue,1997,0.904454,29.469989,0.869097,0,1
Niue,1998,1.310106,28.395187,1.02142,0,1
Niue,2002,-9.800562,22.562503,0.523537,0,1
Niue,2014,13.917938,-1.342411,-11.248648,0,1
Papua New Guinea,1979,0.311891,-0.254322,1.387437,0,1
Papua New Guinea,1982,0.32916,0.034413,0.837854,0,1
Papua New Guinea,1987,2.335584,1.19985,4.018273,0,1
Papua New Guinea,1991,3.448004,-3.444815,1.227365,0,1
Papua New Guinea,1992,4.430944,-3.632323,1.920775,0,1
Papua New Guinea,1993,4.551921,-3.90603,2.607565,0,1
Papua New Guinea,1994,6.479379,-2.626284,-4.165982,0,1
Papua New Guinea,1997,4.789721,-12.843687,-3.133831,0,1
Papua New Guinea,2004,-1.368274,-6.56568,2.55753,0,1
Papua New Guinea,2015,-1.96392,5.801573,0.253217,0,1
Solomon Islands,1987,19.427516,25.077395,4.732085,0,1
Solomon Islands,1989,18.772225,26.094397,7.619074,0,1
Solomon Islands,1992,24.682415,25.472886,10.956172,0,1
Solomon Islands,1993,24.434697,25.318938,11.412544,0,1
Solomon Islands,1994,20.432992,24.954,10.983902,0,1
Solomon Islands,1995,17.924017,24.297969,10.549812,0,1
Solomon Islands,1997,12.465612,13.18685,11.151013,0,1
Solomon Islands,2003,8.712754,9.043683,3.3273,0,1
Solomon Islands,2005,6.748754,7.696608,1.385092,0,1
Solomon Islands,2008,3.423408,5.707133,0.343649,0,1
Tonga,1979,-30.145931,-8.468125,7.438592,0,1
Tonga,1980,-32.815092,-8.288571,-0.831951,1,0
Tonga,1981,-32.633764,-8.069395,-0.076201,1,0
Tonga,1983,-29.955671,-7.478396,0.214593,0,1
Tonga,1986,-24.54355,-6.00301,1.425513,0,1
Tonga,1987,-11.013666,-5.260212,2.72744,0,1
Tonga,1994,15.271838,23.086134,4.077262,0,1
Tonga,1998,13.053247,16.752231,5.272017,0,1
Tonga,2003,1.67319,8.669109,5.915728,0,1
Tonga,2015,2.141017,-3.637185,-3.336966,0,1
