cassava,taro,sp,mean,worst,severe,eff_n
0,0,100,11.543024,-48.889993,7,1.0
5,0,95,10.966015,-47.315886,7,1.219591
0,5,95,10.947227,-41.212761,8,1.219591
5,5,90,10.422523,-39.721016,6,1.48349
0,10,90,10.38851,-36.46793,8,1.384145
5,10,85,9.908695,-35.227313,6,1.67898
0,15,85,9.861248,-32.507957,7,1.52609
5,15,80,9.419724,-31.459643,6,1.84572
0,20,80,9.361005,-29.152979,6,1.649385
5,20,75,8.951807,-28.255204,5,1.98861
0,25,75,8.88396,-27.779053,6,1.754765
10,20,70,8.566902,-27.395246,5,2.229592
5,25,70,8.501614,-25.496482,5,2.108618
10,25,65,8.136721,-24.749301,5,2.355707
5,30,65,8.066015,-23.096531,4,2.205573
10,30,60,7.716561,-22.441136,4,2.454556
5,35,60,7.641917,-21.04238,3,2.278961
10,35,55,7.303366,-20.409952,4,2.525671
5,40,55,7.226131,-20.05705,4,2.328241
15,35,50,6.964226,-19.849953,4,2.714423
10,40,50,6.89385,-18.608714,4,2.568568
