cassava,taro,sp,mean,worst,severe,eff_n
0,0,100,11.543024,-48.889993,7,1.0
0,5,95,10.947227,-41.212761,8,1.219591
0,10,90,10.38851,-36.46793,8,1.384145
0,15,85,9.861248,-32.507957,7,1.52609
0,20,80,9.361005,-29.152979,6,1.649385
0,25,75,8.88396,-27.779053,6,1.754765
0,30,70,8.426626,-26.521171,4,1.842023
0,35,65,7.985674,-25.32802,4,1.910656
0,40,60,7.55782,-24.194731,3,1.960132
0,45,55,7.139696,-23.116907,4,1.990008
0,50,50,6.72773,-22.090575,4,2.0
0,55,45,6.317983,-24.032181,4,1.990008
0,60,40,5.905931,-30.106687,4,1.960132
0,65,35,5.486165,-35.821053,6,1.910656
0,70,30,5.051943,-41.206384,6,1.842023
0,75,25,4.5945,-46.290303,7,1.754765
0,80,20,4.101958,-51.097426,7,1.649385
0,85,15,3.55749,-55.64976,9,1.52609
0,90,10,2.936115,-59.967038,10,1.384145
0,95,5,2.198725,-64.067008,11,1.219591
0,100,0,1.280134,-67.965673,11,1.0
5,0,95,10.966015,-47.315886,7,1.219591
5,5,90,10.422523,-39.721016,6,1.48349
5,10,85,9.908695,-35.227313,6,1.67898
5,15,80,9.419724,-31.459643,6,1.84572
5,20,75,8.951807,-28.255204,5,1.98861
5,25,70,8.501614,-25.496482,5,2.108618
5,30,65,8.066015,-23.096531,4,2.205573
5,35,60,7.641917,-21.04238,3,2.278961
5,40,55,7.226131,-20.05705,4,2.328241
5,45,50,6.815241,-19.118087,4,2.352994
5,50,45,6.405444,-24.104985,4,2.352994
5,55,40,5.992337,-30.077122,4,2.328241
5,60,35,5.570627,-35.700856,5,2.278961
5,65,30,5.133689,-41.005812,5,2.205573
5,70,25,4.6729,-46.018346,5,2.108618
5,75,20,4.176574,-50.761989,6,1.98861
5,80,15,3.628187,-55.257813,7,1.84572
5,85,10,3.00329,-59.524742,10,1.67898
5,90,5,2.263775,-63.579823,11,1.48349
5,95,0,1.346505,-67.438452,11,1.219591
10,0,90,10.450571,-45.836202,6,1.384145
10,5,85,9.948051,-38.309783,5,1.67898
10,10,80,9.469318,-34.047914,5,1.894646
10,15,75,9.010078,-30.458974,5,2.076301
10,20,70,8.566902,-27.395246,5,2.229592
10,25,65,8.136721,-24.749301,5,2.355707
10,30,60,7.716561,-22.441136,4,2.454556
10,35,55,7.303366,-20.409952,4,2.525671
10,40,50,6.89385,-18.608714,4,2.568568
10,45,45,6.484328,-24.175355,4,2.582907
10,50,40,6.070511,-30.048515,4,2.568568
10,55,35,5.647212,-35.584447,5,2.525671
10,60,30,5.207919,-40.811385,5,2.454556
10,65,25,4.744143,-45.754495,5,2.355707
10,70,20,4.244382,-50.436286,5,2.229592
10,75,15,3.692404,-54.876946,6,2.076301
10,80,10,3.064263,-59.094636,8,1.894646
10,85,5,2.322801,-63.105737,12,1.67898
10,90,0,1.406811,-66.925067,14,1.384145
15,0,85,9.982554,-44.442692,5,1.52609
15,5,80,9.511981,-36.972714,4,1.84572
15,10,75,9.060373,-32.925311,5,2.076301
15,15,70,8.623731,-29.502774,5,2.267796
15,20,65,8.198806,-26.570766,5,2.426535
15,25,60,7.782612,-24.030883,5,2.553939
15,30,55,7.372152,-21.809391,4,2.650028
15,35,50,6.964226,-19.849953,4,2.714423
15,40,45,6.555244,-24.24341,4,2.746735
15,45,40,6.141011,-30.020823,5,2.746735
15,50,35,5.716435,-35.471651,5,2.714423
15,55,30,5.27511,-40.622825,5,2.650028
15,60,25,4.808672,-45.498394,5,2.553939
15,65,20,4.305797,-50.119899,5,2.426535
15,70,15,3.750528,-54.506697,6,2.267796
