country,year,crop,yield_anomaly,rain_anomaly,temp_anomaly,is_best
Fiji,1983,cassava,60.384418,-11.1,-0.4,1
Fiji,1983,taro,30.448712,-11.1,-0.4,0
Fiji,1983,sweet_potato,-26.220622,-11.1,-0.4,0
Fiji,1987,cassava,-7.077622,-21.8,-0.4,0
Fiji,1987,taro,5.271672,-21.8,-0.4,0
Fiji,1987,sweet_potato,187.891383,-21.8,-0.4,1
Fiji,1992,cassava,-59.547843,-15.3,-0.2,0
Fiji,1992,taro,-67.965673,-15.3,-0.2,0
Fiji,1992,sweet_potato,81.459724,-15.3,-0.2,1
Fiji,1995,cassava,7.622614,-10.9,0.2,0
Fiji,1995,taro,-3.413962,-10.9,0.2,0
Fiji,1995,sweet_potato,22.619196,-10.9,0.2,1
Fiji,1998,cassava,4.878592,-24.2,0.0,0
Fiji,1998,taro,-19.453086,-24.2,0.0,0
Fiji,1998,sweet_potato,74.7064,-24.2,0.0,1
Fiji,2003,cassava,-9.282034,-17.8,0.2,0
Fiji,2003,taro,-9.541101,-17.8,0.2,0
Fiji,2003,sweet_potato,39.521245,-17.8,0.2,1
Fiji,2004,cassava,23.515714,-10.0,0.2,1
Fiji,2004,taro,-14.004017,-10.0,0.2,0
Fiji,2004,sweet_potato,-35.252748,-10.0,0.2,0
Fiji,2006,cassava,-8.969793,-10.9,0.2,1
Fiji,2006,taro,-13.964584,-10.9,0.2,0
Fiji,2006,sweet_potato,-9.728697,-10.9,0.2,0
Fiji,2014,cassava,-30.358402,-14.4,0.4,0
Fiji,2014,taro,-21.605948,-14.4,0.4,0
Fiji,2014,sweet_potato,18.918717,-14.4,0.4,1
Fiji,2015,cassava,71.765567,-21.0,-0.2,1
Fiji,2015,taro,68.177973,-21.0,-0.2,0
Fiji,2015,sweet_potato,14.401943,-21.0,-0.2,0
New Caledonia,1987,cassava,45.02878,-14.8,-0.2,1
New Caledonia,1987,taro,11.490617,-14.8,-0.2,0
New Caledonia,1987,sweet_potato,33.3934,-14.8,-0.2,0
New Caledonia,1993,cassava,36.947871,-10.2,-0.5,0
New Caledonia,1993,taro,-21.046179,-10.2,-0.5,0
New Caledonia,1993,sweet_potato,37.54454,-10.2,-0.5,1
New Caledonia,1994,cassava,30.017985,-12.7,-0.7,0
New Caledonia,1994,taro,-18.233485,-12.7,-0.7,0
New Caledonia,1994,sweet_potato,35.789478,-12.7,-0.7,1
New Caledonia,2010,cassava,-29.058438,-10.8,0.4,0
New Caledonia,2010,taro,27.231197,-10.8,0.4,1
New Caledonia,2010,sweet_potato,-48.889993,-10.8,0.4,0
New Caledonia,2014,cassava,-23.902152,-12.8,0.1,0
New Caledonia,2014,taro,-6.842344,-12.8,0.1,1
New Caledonia,2014,sweet_potato,-47.001451,-12.8,0.1,0
New Caledonia,2015,cassava,-7.519386,-12.3,0.0,0
